run,label,axis,t_start,dur,rpm_cmd,dir,rpm1,rpm2,follow1,follow2,i1_A,i2_A,v_bus_V,p_W,left_right,dpos1,dpos2,d1_over_d2,dist_m,v_m_s,zero_kind,usable,note
gnd0903,X003:+600,lin,25.42,2.59,600,fwd,600.7,-600.4,1.0011,1.0007,0.26673,0.26880,28.589,15.310,0.99230,774,-774,1.00000,0.686,0.2660,interp,no,
gnd0903_2,X010:+300,rot,48.63,2.21,300,left,300.0,300.3,1.0000,1.0010,0.13322,0.10995,28.580,6.950,1.21164,330,330,1.00000,0.000,0.1330,interp,no,제자리 선회 — 측정 대상 아님
gnd0903_3,X009:+300,rot,38.46,5.05,300,left,299.6,299.0,0.9988,0.9967,0.57776,0.55428,28.571,32.343,1.04236,758,757,1.00132,0.000,0.1330,interp,yes,제자리 선회 — 측정 대상 아님
gnd0903_3,X019:-600,lin,64.40,5.88,-600,rev,-600.4,600.7,1.0006,1.0012,0.34272,0.30454,28.571,18.493,1.12537,-1755,1756,0.99943,1.556,0.2660,interp,yes,
gnd0903_3,X027:+600,lin,112.66,10.84,600,fwd,600.0,-600.2,1.0001,1.0003,0.30079,0.34202,28.571,18.365,0.87945,3244,-3244,1.00000,2.876,0.2660,interp,yes,
gnd0903_3,X035:+600,lin,132.42,7.77,600,fwd,600.4,-599.8,1.0007,0.9997,0.28922,0.31707,28.571,17.322,0.91216,2323,-2321,1.00086,2.060,0.2660,interp,yes,
gnd0903_3,X047:+600,lin,160.21,3.26,600,fwd,599.0,-599.7,0.9983,0.9994,0.28774,0.32708,28.571,17.566,0.87972,977,-977,1.00000,0.866,0.2660,interp,no,
gnd0903_3,X051:-300,rot,167.63,2.53,-300,right,-300.0,-301.5,1.0000,1.0049,0.54016,0.51219,28.571,30.066,1.05461,-379,-379,1.00000,0.000,0.1330,interp,no,제자리 선회 — 측정 대상 아님
gnd0903_3,X057:+600,lin,178.38,16.85,600,fwd,599.8,-600.1,0.9996,1.0002,0.30747,0.32521,28.571,18.076,0.94545,5049,-5048,1.00020,4.477,0.2660,interp,yes,
gnd0903_3,X061:-600,lin,203.38,9.37,-600,rev,-600.0,600.2,1.0000,1.0004,0.32908,0.30052,28.571,17.988,1.09504,-2802,2802,1.00000,2.484,0.2660,interp,yes,
gnd0903_3,X065:+600,lin,224.01,12.06,600,fwd,599.8,-600.0,0.9996,1.0001,0.29362,0.31832,28.571,17.483,0.92241,3619,-3619,1.00000,3.209,0.2660,interp,yes,
gnd0903_3,X069:-600,lin,240.32,8.25,-600,rev,-600.0,600.1,1.0000,1.0002,0.31979,0.29859,28.571,17.667,1.07100,-2466,2467,0.99959,2.187,0.2660,interp,yes,
gnd0903_3,X073:+600,lin,254.23,13.08,600,fwd,600.0,-600.1,1.0000,1.0002,0.29659,0.32315,28.571,17.706,0.91781,3916,-3916,1.00000,3.472,0.2660,interp,yes,
gnd0903_3,X077:-600,lin,271.47,11.96,-600,rev,-600.0,600.1,1.0000,1.0002,0.31550,0.29606,28.571,17.473,1.06566,-3588,3588,1.00000,3.181,0.2660,interp,yes,
gnd0903_4,X003:+700,lin,30.11,18.07,700,fwd,700.3,-700.0,1.0005,1.0000,0.35104,0.38748,28.551,21.086,0.90596,6316,-6315,1.00016,5.600,0.3103,interp,yes,
gnd0903_4,X007:-700,lin,52.31,13.37,-700,rev,-701.1,700.0,1.0015,0.9999,0.36426,0.33592,28.551,19.991,1.08437,-4670,4668,1.00043,4.141,0.3103,interp,yes,
