run,label,kind,phase,axis,t_start,dur,rpm_cmd,dir,rpm1,rpm2,follow1,follow2,i1_A,i2_A,v_bus_V,p_W,left_right,dpos1,dpos2,lin_counts,rot_counts,dist_m,v_m_s,zero_kind,usable,note
gnd0905,X007:-300,drive_x,move,rot,71.47,4.54,300,right,-300.2,-299.8,1.0005,0.9993,0.55745,0.55071,28.552,31.641,1.01224,-681,-681,0.0,-681.0,0.000,0.0000,interp,no,
gnd0905,X011:+500,drive_x,move,lin,80.42,1.66,500,fwd,505.5,-502.0,1.0110,1.0040,0.19415,0.21575,28.552,11.704,0.89988,407,-407,407.0,0.0,0.310,0.1863,interp,no,
gnd0905_2,X014:+500,drive_x,move,lin,46.79,4.51,500,fwd,500.2,-499.7,1.0005,0.9995,0.24617,0.23138,28.541,13.630,1.06392,1121,-1120,1120.5,0.5,0.853,0.1892,interp,no,
gnd0905_2,X020:+500,drive_x,move,lin,62.90,10.27,500,fwd,500.2,-500.2,1.0003,1.0003,0.23782,0.22663,28.541,13.256,1.04938,2560,-2559,2559.5,0.5,1.949,0.1898,interp,yes,
gnd0905_2,X029:-300,drive_x,move,rot,85.90,2.21,300,right,-300.0,-299.5,1.0000,0.9983,0.52021,0.49678,28.541,29.026,1.04716,-325,-326,0.5,-325.5,0.000,0.0002,interp,no,
gnd0905_2,D034:+300,drive,meas,lin,100.87,12.31,300,fwd,300.0,-300.1,0.9999,1.0003,0.14784,0.14878,28.541,8.466,0.99368,1844,-1844,1844.0,0.0,1.404,0.1140,interp,yes,
gnd0905_2,D038:-300,drive,meas,lin,117.37,13.50,300,rev,-300.0,300.1,1.0001,1.0004,0.14411,0.15239,28.541,8.462,0.94567,-2026,2026,-2026.0,0.0,-1.542,0.1143,interp,yes,
gnd0905_2,X045:+400,drive_x,move,lin,147.69,12.57,400,fwd,400.2,-400.2,1.0004,1.0006,0.19279,0.19796,28.541,11.152,0.97388,2515,-2516,2515.5,-0.5,1.915,0.1524,interp,yes,
gnd0905_2,X047:-400,drive_x,move,lin,164.64,9.31,400,rev,-399.9,399.7,0.9999,0.9992,0.20404,0.19095,28.541,11.273,1.06855,-1861,1862,-1861.5,0.5,-1.417,0.1523,interp,yes,
gnd0905_2,X051:+500,drive_x,move,lin,179.22,13.43,500,fwd,500.4,-500.1,1.0007,1.0002,0.23479,0.23549,28.541,13.422,0.99703,3352,-3352,3352.0,0.0,2.552,0.1900,interp,yes,
