run,speed_order,cycle,step_no,rpm_cmd,rpm1_fwd,rpm1_rev,rpm2_fwd,rpm2_rev,i1_fwd_A,i1_rev_A,i2_fwd_A,i2_rev_A,i_fwd_A,i_rev_A,v_bus_V,p_fwd_W,p_rev_W,fwd_rev,left_right,id1_fwd_rev,id2_fwd_rev,note,in_settled_profile
sweepa,low_to_high,C1,1,300,299.9,300.0,300.0,300.0,0.13906,0.13976,0.13434,0.11738,0.2734,0.25714,28.472,7.7842,7.3213,1.06323,1.10766,0.99499,1.14449,first_step_discard,no
sweepa,low_to_high,C1,2,600,600.0,600.1,600.1,599.9,0.24945,0.25551,0.24888,0.21184,0.49833,0.46735,28.472,14.1884,13.3063,1.06629,1.09602,0.97628,1.17485,warmup_confounded,no
sweepa,low_to_high,C1,3,900,899.8,900.4,900.2,900.4,0.3523,0.36465,0.35706,0.30581,0.70936,0.67046,28.472,20.1968,19.0893,1.05802,1.08158,0.96613,1.16759,warmup_confounded,no
sweepa,low_to_high,C1,4,1200,1200.1,1199.9,1200.1,1200.0,0.45292,0.47064,0.46312,0.3999,0.91604,0.87054,28.472,26.0814,24.7859,1.05227,1.07015,0.96235,1.15809,warmup_confounded,no
sweepa,low_to_high,C1,5,1500,1500.0,1500.3,1499.8,1500.1,0.53867,0.56827,0.5356,0.49458,1.07427,1.06285,28.472,30.5865,30.2614,1.01074,1.07451,0.94791,1.08294,settled,no
sweepa,low_to_high,C1,6,1800,1800.1,1800.0,1800.0,1800.1,0.64649,0.6719,0.66335,0.57147,1.30984,1.24337,28.472,37.2936,35.4011,1.05346,1.06768,0.96218,1.16078,settled,no
sweepa,low_to_high,C1,7,2100,2100.0,2100.1,2100.8,2099.8,0.74022,0.76914,0.75994,0.6625,1.50016,1.43164,28.472,42.7124,40.7615,1.04786,1.06111,0.9624,1.14708,settled,no
sweepa,low_to_high,C1,8,2400,2400.0,2400.2,2399.9,2399.7,0.84332,0.87052,0.85535,0.75702,1.69867,1.62754,28.472,48.3644,46.3392,1.0437,1.06293,0.96875,1.12989,settled,no
sweepa,low_to_high,C1,9,2700,2700.3,2699.8,2699.7,2700.3,0.92736,0.9444,0.91493,0.85022,1.84229,1.79462,28.472,52.4535,51.0962,1.02656,1.0604,0.98196,1.07611,settled,no
sweepa,low_to_high,C1,10,3000,3000.1,3000.0,3000.1,3000.9,1.0189,1.01938,1.01384,0.93668,2.03274,1.95606,28.472,57.876,55.6927,1.0392,1.04499,0.99953,1.08238,settled,yes
sweepa,low_to_high,C2,1,300,300.0,300.1,300.0,300.1,0.10311,0.11013,0.09716,0.10027,0.20027,0.2104,28.401,5.6878,5.9755,0.95185,1.08008,0.93626,0.96898,first_step_discard,no
sweepa,low_to_high,C2,2,600,600.1,600.1,600.1,600.0,0.2161,0.22798,0.20133,0.19165,0.41743,0.41963,28.401,11.8554,11.9179,0.99476,1.13003,0.94789,1.05051,warmup_confounded,no
sweepa,low_to_high,C2,3,900,899.8,900.3,900.1,900.0,0.32147,0.33603,0.3066,0.2823,0.62807,0.61833,28.401,17.8378,17.5611,1.01575,1.11649,0.95667,1.08608,warmup_confounded,no
sweepa,low_to_high,C2,4,1200,1200.1,1199.9,1200.0,1199.8,0.42462,0.4415,0.42713,0.37247,0.85175,0.81397,28.401,24.1905,23.1175,1.04641,1.08319,0.96177,1.14675,warmup_confounded,no
sweepa,low_to_high,C2,5,1500,1500.2,1500.2,1500.4,1500.0,0.53374,0.54026,0.52351,0.45689,1.05725,0.99715,28.401,30.0269,28.32,1.06027,1.09547,0.98793,1.14581,settled,no
sweepa,low_to_high,C2,6,1800,1799.7,1800.1,1800.3,1800.1,0.61694,0.64884,0.62861,0.55782,1.24555,1.20666,28.401,35.3747,34.2702,1.03223,1.06688,0.95084,1.1269,settled,no
sweepa,low_to_high,C2,7,2100,2099.4,2100.2,2099.6,2099.6,0.71683,0.74989,0.73312,0.65125,1.44995,1.40114,28.401,41.1799,39.7936,1.03484,1.05949,0.95591,1.12571,settled,no
sweepa,low_to_high,C2,8,2400,2400.1,2400.1,2400.4,2399.6,0.8128,0.84294,0.81016,0.74128,1.62296,1.58422,28.401,46.0935,44.9933,1.02445,1.06723,0.96424,1.09292,settled,no
sweepa,low_to_high,C2,9,2700,2700.0,2700.0,2699.8,2699.7,0.90769,0.92457,0.90043,0.83154,1.80812,1.75611,28.401,51.3522,49.8751,1.02962,1.05791,0.98174,1.08285,settled,no
sweepa,low_to_high,C2,10,3000,3000.0,3000.2,3000.5,2999.9,0.98794,1.01115,0.9977,0.94773,1.98564,1.95888,28.401,56.394,55.634,1.01366,1.02758,0.97705,1.05273,settled,yes
sweepb,high_to_low,C1,1,3000,3000.5,2999.9,2999.9,3000.3,1.12742,1.04253,1.10778,0.92096,2.2352,1.96349,28.356,63.3822,55.6775,1.13838,1.0696,1.08143,1.20285,first_step_discard,no
sweepb,high_to_low,C1,2,2700,2700.1,2700.4,2700.5,2700.3,0.91088,0.93335,0.89721,0.83755,1.80809,1.7709,28.356,51.2709,50.2163,1.021,1.0631,0.97593,1.07123,settled,yes
sweepb,high_to_low,C1,3,2400,2400.0,2400.4,2400.3,2400.0,0.79496,0.83022,0.78589,0.73368,1.58085,1.5639,28.356,44.8272,44.3466,1.01084,1.0695,0.95753,1.07116,settled,yes
sweepb,high_to_low,C1,4,2100,2100.2,2100.1,2099.9,2099.7,0.69129,0.72602,0.68022,0.63878,1.37151,1.3648,28.356,38.8911,38.7008,1.00492,1.07453,0.95216,1.06487,settled,yes
sweepb,high_to_low,C1,5,1800,1800.1,1800.2,1800.2,1799.4,0.58969,0.62565,0.59162,0.5482,1.18131,1.17385,28.356,33.4977,33.2862,1.00636,1.06626,0.94252,1.0792,settled,yes
sweepb,high_to_low,C1,6,1500,1500.2,1499.9,1499.9,1500.1,0.48859,0.51521,0.48906,0.45286,0.97765,0.96807,28.356,27.7226,27.451,1.0099,1.0657,0.94833,1.07994,settled,yes
sweepb,high_to_low,C1,7,1200,1200.2,1200.2,1199.8,1200.1,0.39726,0.4277,0.39497,0.37037,0.79223,0.79807,28.356,22.4648,22.6304,0.99268,1.0779,0.92883,1.06642,settled,yes
sweepb,high_to_low,C1,8,900,899.8,900.2,900.4,900.4,0.29839,0.31949,0.28829,0.27584,0.58668,0.59533,28.356,16.6361,16.8814,0.98547,1.09528,0.93396,1.04513,settled,yes
sweepb,high_to_low,C1,9,600,600.0,600.1,600.0,600.0,0.2053,0.21657,0.19575,0.18866,0.40105,0.40523,28.356,11.3723,11.4909,0.98968,1.09745,0.94796,1.03758,settled,yes
sweepb,high_to_low,C1,10,300,299.9,300.1,300.0,300.0,0.10995,0.11408,0.10537,0.10298,0.21532,0.21706,28.356,6.1057,6.155,0.99198,1.07526,0.9638,1.02321,settled,yes
sweepb,high_to_low,C2,1,3000,3000.4,3000.4,2999.8,3000.2,1.07898,1.02284,1.07229,0.91044,2.15127,1.93328,28.262,60.7988,54.638,1.11276,1.06006,1.05489,1.17777,first_step_discard,no
sweepb,high_to_low,C2,2,2700,2700.1,2700.3,2700.1,2699.7,0.89501,0.91021,0.88742,0.82081,1.78243,1.73102,28.262,50.3747,48.9217,1.0297,1.05678,0.9833,1.08115,settled,yes
sweepb,high_to_low,C2,3,2400,2400.3,2400.1,2400.3,2399.9,0.787,0.81069,0.77198,0.72581,1.55898,1.5365,28.262,44.0596,43.4243,1.01463,1.0667,0.97078,1.06361,settled,yes
sweepb,high_to_low,C2,4,2100,2100.1,2100.1,2100.2,2100.2,0.68733,0.71246,0.67124,0.62775,1.35857,1.34021,28.262,38.3956,37.8767,1.0137,1.0776,0.96473,1.06928,settled,yes
