seq,t_us,n,v_raw,v_lo,v_hi,ir_raw,ir_lo,ir_hi,il_raw,il_lo,il_hi,flags,V_bus_V,I_L_A,I_R_A,P_W
32,774057055,32,20.34,16,29,2061.63,2041,2069,2043.75,2036,2057,193,0.19659,0.05794,0.01673,0.0147
33,774067242,32,20.09,12,26,2061.88,2042,2069,2042.78,2037,2050,193,0.19417,0.02833,0.02436,0.0102
34,774077467,32,20.59,6,37,2062.06,2048,2074,2042.78,2017,2050,193,0.19900,0.02833,0.02985,0.0116
35,774087656,32,21.47,4,36,2062.19,2059,2069,2043.94,2038,2056,193,0.20751,0.06374,0.03382,0.0202
36,774097828,32,20.19,11,28,2061.5,2048,2069,2044.56,2038,2052,193,0.19514,0.08266,0.01276,0.0186
37,774108024,32,21.41,5,56,2062.03,2057,2072,2043.31,2037,2052,193,0.20693,0.04451,0.02894,0.0152
38,774118220,32,19.47,5,25,2061.91,2057,2067,2044.13,2035,2056,193,0.18818,0.06954,0.02527,0.0178
39,774133993,32,18.91,9,27,2061.31,2044,2066,2042.19,2019,2050,193,0.18277,0.01032,0.00696,0.0032
40,774144301,32,19.06,0,26,2062.56,2056,2068,2044.09,2037,2056,193,0.18421,0.06831,0.04512,0.0209
41,774154523,32,19.66,17,26,2062.69,2059,2069,2044.03,2037,2057,193,0.19001,0.06648,0.04908,0.0220
42,774164729,32,20.22,8,27,2060.97,2056,2066,2043.13,2035,2050,193,0.19543,0.03901,-0.00342,0.0070
43,774174941,32,21.03,16,29,2061.66,2051,2075,2043.78,2030,2050,193,0.20325,0.05885,0.01764,0.0155
44,774185105,32,19.91,0,28,2061.75,2045,2067,2042.66,2027,2050,193,0.19243,0.02466,0.02039,0.0087
45,774195255,32,20.5,14,28,2061.41,2058,2067,2042.06,2038,2052,193,0.19813,0.00635,0.01001,0.0032
46,774205458,32,21.38,12,27,2061.88,2049,2077,2043.88,2036,2062,193,0.20664,0.06190,0.02436,0.0178
47,774215676,32,21.0,14,29,2061.91,2052,2067,2044.44,2038,2064,193,0.20297,0.07900,0.02527,0.0212
48,774225854,32,19.88,15,37,2062.03,2057,2072,2043.41,2035,2053,193,0.19214,0.04756,0.02894,0.0147
49,774236037,32,19.44,6,26,2062.19,2058,2088,2043.28,2038,2053,193,0.18789,0.04359,0.03382,0.0145
50,774246219,32,21.31,16,31,2061.22,2039,2068,2043.09,2039,2050,193,0.20596,0.03779,0.00421,0.0087
51,774256433,32,20.28,17,27,2062.16,2054,2077,2042.31,2015,2051,193,0.19601,0.01398,0.03291,0.0092
52,774266633,32,20.06,16,26,2061.75,2053,2067,2044.59,2039,2066,193,0.19388,0.08358,0.02039,0.0202
53,774276813,32,19.63,15,26,2062.91,2056,2080,2042.91,2030,2050,193,0.18972,0.03230,0.05580,0.0167
54,774286998,32,18.13,1,26,2062.72,2057,2083,2043.41,2035,2050,193,0.17523,0.04756,0.05000,0.0171
55,774297179,32,17.66,0,26,2060.66,2057,2066,2043.25,2038,2052,193,0.17068,0.04267,-0.01288,0.0051
56,774307355,32,19.91,10,27,2061.56,2056,2066,2043.28,2029,2053,193,0.19243,0.04359,0.01459,0.0112
57,774317565,32,19.69,0,27,2062.16,2057,2068,2044.31,2037,2071,193,0.19030,0.07503,0.03291,0.0205
58,774327725,32,20.84,17,34,2062.75,2058,2074,2042.59,2026,2053,193,0.20142,0.02253,0.05092,0.0148
59,774337951,32,19.47,12,26,2062.09,2058,2071,2043.34,2036,2052,193,0.18818,0.04542,0.03077,0.0143
60,774348148,32,20.31,4,35,2061.84,2041,2083,2043.97,2038,2067,193,0.19630,0.06465,0.02314,0.0172
61,774358354,32,20.94,13,28,2061.47,2051,2068,2043.69,2030,2053,193,0.20239,0.05610,0.01184,0.0138
62,774368539,32,20.06,17,28,2061.63,2042,2080,2045.44,2040,2051,193,0.19388,0.10952,0.01673,0.0245
63,774378756,32,19.56,16,27,2062.22,2059,2077,2043.53,2038,2064,193,0.18905,0.05122,0.03474,0.0163
64,774388958,32,19.44,8,27,2061.63,2050,2070,2043.88,2038,2050,193,0.18789,0.06190,0.01673,0.0148
65,774399157,32,20.47,14,28,2061.31,2051,2067,2043.0,2036,2051,193,0.19784,0.03504,0.00696,0.0083
66,774409307,32,20.44,14,42,2061.63,2043,2074,2044.16,2038,2050,193,0.19755,0.07045,0.01673,0.0172
67,774419501,32,19.72,14,27,2061.63,2045,2072,2043.63,2019,2056,193,0.19059,0.05427,0.01673,0.0135
68,774429730,32,21.84,13,37,2061.19,2040,2068,2044.31,2038,2051,193,0.21108,0.07503,0.00330,0.0165
69,774439924,32,19.13,6,26,2061.63,2044,2067,2044.06,2040,2050,193,0.18489,0.06740,0.01673,0.0156
70,774450155,32,20.0,11,27,2062.16,2057,2075,2042.78,2040,2050,193,0.19330,0.02833,0.03291,0.0118
71,774460311,32,19.53,0,26,2061.28,2048,2072,2042.84,2033,2051,193,0.18876,0.03016,0.00604,0.0068
72,774470536,32,20.56,17,30,2060.94,2052,2066,2044.56,2036,2064,193,0.19871,0.08266,-0.00433,0.0156
73,774480724,32,20.97,16,26,2061.78,2057,2068,2043.41,2037,2057,193,0.20268,0.04756,0.02131,0.0140
74,774490926,32,19.28,15,26,2062.41,2045,2073,2043.34,2029,2056,193,0.18634,0.04542,0.04054,0.0160
75,774501140,32,21.34,16,30,2062.19,2054,2072,2044.81,2037,2057,193,0.20625,0.09029,0.03382,0.0256
76,774511346,32,20.94,17,33,2062.53,2059,2073,2042.97,2035,2050,193,0.20239,0.03413,0.04420,0.0159
77,774521530,32,20.69,14,28,2061.91,2058,2068,2043.91,2038,2051,193,0.19997,0.06282,0.02527,0.0176
78,774531764,32,20.25,5,40,2061.88,2053,2077,2043.72,2036,2052,193,0.19572,0.05702,0.02436,0.0159
79,774541975,32,20.56,2,34,2062.22,2059,2067,2042.97,2040,2049,193,0.19871,0.03413,0.03474,0.0137
80,774552170,32,20.28,14,26,2061.84,2059,2067,2044.97,2036,2056,193,0.19601,0.09518,0.02314,0.0232
81,774562369,32,20.72,10,35,2062.16,2056,2069,2042.34,2037,2050,193,0.20026,0.01490,0.03291,0.0096
82,774572602,32,19.69,13,27,2061.09,2044,2067,2044.22,2037,2077,193,0.19030,0.07228,0.00024,0.0138
